Model,Asset,C-Index Type,Quantile,Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Max Drawdown,Note
mlp,TLT,No Filter,,34,0.1833514625731493,58.82352941176471,0.17204032179446221,1.592465290248681,85.68,-5.224740855735099,
rf,GLD,C_Mallows_full,0.2,39,0.48332302592738324,69.23076923076923,0.34179002200783815,3.3883787854199485,98.28,-4.590683357262471,
rf,GLD,C_Mallows_full,0.3,39,0.48332302592738324,69.23076923076923,0.34179002200783815,3.3883787854199485,98.28,-4.590683357262471,
rf,GLD,C_Mallows_full,0.4,39,0.48332302592738324,69.23076923076923,0.34179002200783815,3.3883787854199485,98.28,-4.590683357262471,
rf,GLD,C_Mallows_full,0.5,21,0.29416855326923985,66.66666666666666,0.189304327167607,1.377115793537134,52.92,-4.225334312944096,
rf,GLD,C_RBO_full,0.2,32,0.47712056481579723,68.75,0.3315128812022599,2.976978289826755,80.64,-4.590683357262471,
rf,GLD,C_RBO_full,0.3,28,0.6133323061925092,75.0,0.46760694767448185,3.927898360465648,70.56,-4.590683357262471,
rf,GLD,C_RBO_full,0.4,26,0.5429992960830832,73.07692307692307,0.41008115127931766,3.319378314922399,65.52000000000001,-4.590683357262471,
rf,GLD,C_RBO_full,0.5,23,0.6730961086136056,78.26086956521739,0.5785609792521568,4.404669508271638,57.96,-2.823439606845568,
rf,GLD,C_tau_full,0.2,39,0.48332302592738324,69.23076923076923,0.34179002200783815,3.3883787854199485,98.28,-4.590683357262471,
rf,GLD,C_tau_full,0.3,39,0.48332302592738324,69.23076923076923,0.34179002200783815,3.3883787854199485,98.28,-4.590683357262471,
rf,GLD,C_tau_full,0.4,39,0.48332302592738324,69.23076923076923,0.34179002200783815,3.3883787854199485,98.28,-4.590683357262471,
rf,GLD,C_tau_full,0.5,21,0.29416855326923985,66.66666666666666,0.189304327167607,1.377115793537134,52.92,-4.225334312944096,
rf,GLD,C_tau_ties10,0.2,39,0.48332302592738324,69.23076923076923,0.34179002200783815,3.3883787854199485,98.28,-4.590683357262471,
rf,GLD,C_tau_ties10,0.3,39,0.48332302592738324,69.23076923076923,0.34179002200783815,3.3883787854199485,98.28,-4.590683357262471,
rf,GLD,C_tau_ties10,0.4,24,0.5237038655276693,75.0,0.40854269852051683,3.1771911520071434,60.480000000000004,-4.590683357262471,
